Image Path,Feature Vector
D:\HCSDLDPT\HCSDLDPT_birds_classification\Bird_dataset_OZ_1\ABBOTTS BABBLER\1.jpg,0.9968477487564087,0.0061631761491298676,0.02239900641143322,0.003173575736582279,0.00443840678781271,0.033920466899871826,0.023548852652311325,0.06340252608060837,0.9795292019844055,0.07549861818552017,0.10698391497135162,0.07664026319980621,0.055039182305336,0.030253523960709572,0.022682633250951767,0.016884291544556618,0.01342932041734457,0.011085948906838894,0.008111669681966305,0.11131013929843903,0.9763375520706177,0.20320692658424377,0.0739729180932045
D:\HCSDLDPT\HCSDLDPT_birds_classification\Bird_dataset_OZ_1\ABBOTTS BABBLER\4.jpg,0.9988018274307251,0.011186332441866398,0.024281442165374756,0.006014872808009386,0.01189657486975193,0.03071802295744419,0.008833651430904865,0.021928761154413223,0.9763753414154053,0.05984782055020332,0.07962989062070847,0.09627693146467209,0.08091525733470917,0.07132204622030258,0.05003516003489494,0.023857617750763893,0.0119444839656353,0.006677624769508839,0.003950144164264202,0.11220290511846542,0.9585228562355042,0.23770201206207275,0.1572631299495697
D:\HCSDLDPT\HCSDLDPT_birds_classification\Bird_dataset_OZ_1\ABBOTTS BABBLER\5.jpg,0.9968918561935425,0.018058717250823975,0.019717169925570488,0.0017505899304524064,0.004353440832346678,0.063689224421978,0.01865760236978531,0.032639287412166595,0.9681391716003418,0.14041396975517273,0.14197589457035065,0.07548247277736664,0.05578307434916496,0.04998163506388664,0.037964366376399994,0.013196681626141071,0.009020919911563396,0.005450803320854902,0.003060100134462118,0.09894324094057083,0.9688167572021484,0.245962455868721,0.02994217723608017
D:\HCSDLDPT\HCSDLDPT_birds_classification\Bird_dataset_OZ_1\AFRICAN FIREFINCH\2.jpg,0.9903205037117004,0.047266505658626556,0.05037714168429375,0.004729179665446281,0.005841927602887154,0.04999779537320137,0.011785014532506466,0.10861939191818237,0.9729564785957336,0.1282082498073578,0.07810316979885101,0.06718918681144714,0.04585731774568558,0.03872602432966232,0.036245573312044144,0.01627795211970806,0.011162024922668934,0.010603923350572586,0.006015091203153133,0.144393190741539,0.9742340445518494,0.21139563620090485,0.07861196249723434
D:\HCSDLDPT\HCSDLDPT_birds_classification\Bird_dataset_OZ_1\AFRICAN FIREFINCH\4.jpg,0.9983898997306824,0.0034485170617699623,0.026991277933120728,0.0033379876986145973,0.007980221882462502,0.018104713410139084,0.005747528281062841,0.0451844148337841,0.9420849680900574,0.030063720420002937,0.08466307073831558,0.09091056883335114,0.06508757919073105,0.08617761731147766,0.11605202406644821,0.07709034532308578,0.05342558026313782,0.06489825993776321,0.05490226298570633,0.23448945581912994,0.8980585932731628,0.4385829269886017,0.03370143473148346
D:\HCSDLDPT\HCSDLDPT_birds_classification\Bird_dataset_OZ_1\AFRICAN FIREFINCH\5.jpg,0.9976908564567566,0.06044246628880501,0.02135886438190937,0.0010478774784132838,0.004280691035091877,0.018772613257169724,0.004570529330521822,0.010523365810513496,0.9766404628753662,0.0150457713752985,0.02132495492696762,0.0397074893116951,0.06585558503866196,0.1163620576262474,0.10322733968496323,0.04443962872028351,0.015925463289022446,0.0064308540895581245,0.0026087425649166107,0.11448133736848831,0.9955716133117676,0.08732107281684875,0.03481705114245415
D:\HCSDLDPT\HCSDLDPT_birds_classification\Bird_dataset_OZ_1\ALBERTS TOWHEE\2.jpg,0.9989954233169556,0.002163533354178071,0.015680260956287384,0.0014566362369805574,0.00794723629951477,0.04076439514756203,0.0037701174151152372,0.004048591945320368,0.9693965315818787,0.013527609407901764,0.01602359302341938,0.03522108867764473,0.11056278645992279,0.08085751533508301,0.04563642293214798,0.032940808683633804,0.024528421461582184,0.018519574776291847,0.01023044716566801,0.1887086182832718,0.9815279841423035,0.17236396670341492,0.08302658051252365
D:\HCSDLDPT\HCSDLDPT_birds_classification\Bird_dataset_OZ_1\ALBERTS TOWHEE\3.jpg,0.9995152354240417,0.00990811362862587,0.015316380187869072,0.0009506718488410115,0.0027252594009041786,0.024506207555532455,0.0046477289870381355,0.0024506207555532455,0.9791713953018188,0.01359008252620697,0.021100390702486038,0.05331723019480705,0.08726263046264648,0.08744145184755325,0.07727868854999542,0.033200331032276154,0.0137092936784029,0.003725351532921195,0.0022650137543678284,0.12332403659820557,0.96205735206604,0.27238523960113525,0.015873149037361145
D:\HCSDLDPT\HCSDLDPT_birds_classification\Bird_dataset_OZ_1\ALBERTS TOWHEE\4.jpg,0.9994969964027405,0.0034669307060539722,0.02003588154911995,0.0018717172788456082,0.0054449955932796,0.0196317620575428,0.005125952884554863,0.01214489247649908,0.9714822769165039,0.06808605790138245,0.133644700050354,0.1053808182477951,0.05877777561545372,0.030421430245041847,0.019479578360915184,0.012606245465576649,0.008506904356181622,0.0025890578981488943,0.0028356348630040884,0.13272003829479218,0.9698609113693237,0.15197965502738953,0.19045189023017883
D:\HCSDLDPT\HCSDLDPT_birds_classification\Bird_dataset_OZ_1\ALBERTS TOWHEE\5.jpg,0.99906325340271,0.0049706799909472466,0.016127577051520348,0.001931836362928152,0.00388537859544158,0.029107781127095222,0.008573880419135094,0.025461168959736824,0.9827454686164856,0.06825254112482071,0.08510220795869827,0.09956104308366776,0.054676033556461334,0.024050623178482056,0.009477938525378704,0.004525501746684313,0.003045463701710105,0.00196389714255929,0.0014231138629838824,0.09329934418201447,0.9761486053466797,0.16648130118846893,0.1393476128578186
